available,category,image,link,price,shop,sku,title
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/76/56/5676/images/10273/10273.170x0.jpeg,https://28bit.ru/protsessor-amd-ryzen-5-5600x-oem-100-000000065/,12 100,28bit.ru,5677,Процессор AMD Ryzen 5 5600X OEM 100-000000065
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/48/12/11248/images/13458/13458.170x0.jpeg,https://28bit.ru/protsessor-amd-ryzen-5-5600g-box-100-100000252box/,12 330,28bit.ru,11539,Процессор AMD Ryzen 5 5600G BOX 100-100000252BOX
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/14/56/5614/images/10212/10212.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-8400-oem-cm8068403358811/,12 820,28bit.ru,5615,Процессор Intel Core i5 8400 OEM CM8068403358811
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/18/26/12618/images/27803/27803.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-12400-oem-cm8071504650608/,12 910,28bit.ru,12913,Процессор Intel Core i5 12400 OEM CM8071504650608
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/78/86/18678/images/31360/31360.170x0.png,https://28bit.ru/protsessor-intel-core-i3-12100t-oem-cm8071504651106/,13 460,28bit.ru,19307,Процессор Intel Core i3 12100T OEM CM8071504651106
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/34/83/8334/images/10744/10744.170x0.jpeg,https://28bit.ru/protsessor-amd-ryzen-7-3700x-oem-100-000000071/,13 610,28bit.ru,8329,Процессор AMD Ryzen 7 3700X OEM 100-000000071
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/43/56/5643/images/10244/10244.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-10500-oem-cm8070104290511srh3a/,14 290,28bit.ru,5644,Процессор Intel Core i5 10500 OEM CM8070104290511
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/22/92/9222/images/13842/13842.170x0.png,https://28bit.ru/protsessor-intel-core-i5-11400-box-bx8070811400/,14 330,28bit.ru,9251,Процессор Intel Core i5 11400 BOX BX8070811400
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/94/93/19394/images/33285/33285.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-9400-oem-cm8068403358816/,14 340,28bit.ru,20031,Процессор Intel Core i5 9400 OEM CM8068403358816
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/01/14/11401/images/13579/13579.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-9400-oem-cm8068403875505/,14 440,28bit.ru,11692,Процессор Intel Core i5 9400 OEM CM8068403875505
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/89/16/11689/images/29308/29308.170x0.jpeg,https://28bit.ru/protsessor-amd-ryzen-5-pro-5650g-oem-100-100000255/,14 600,28bit.ru,11984,Процессор AMD Ryzen 5 5650G PRO OEM 100-000000255
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/58/56/5658/images/10257/10257.170x0.jpeg,https://28bit.ru/protsessor-amd-ryzen-7-4750g-pro-oem-100-100000145/,14 760,28bit.ru,5659,Процессор AMD Ryzen 7 4750G PRO OEM 100-100000145
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/95/23/12395/images/27591/27591.170x0.jpeg,https://28bit.ru/protsessor-amd-ryzen-7-pro-4750g-oem-100-100000145mpk/,14 910,28bit.ru,12690,Процессор AMD Ryzen 7 4750G PRO OEM 100-100000145MPK
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/30/67/6730/images/10271/10271.170x0.jpeg,https://28bit.ru/protsessor-amd-ryzen-5-5600x-box-100-000000065box/,14 920,28bit.ru,6731,Процессор AMD Ryzen 5 5600X BOX 100-100000065BOX
